Frame,MedianFPS,MeanFPS,TsliceFPS,EMAFPS,InstFPS
1,1.49464,1,1.75841,1.49464,1.75841
2,9.53608,9,20.6807,17.5763,20.6807
3,17.5775,12,21.6754,18.4214,21.6754
4,17.7305,13.25,21.0402,17.8822,21.0402
5,17.8835,14.2,21.5923,18.3514,21.5923
6,17.8297,14.6667,20.9138,17.7748,20.9138
7,17.776,14.8571,19.4059,16.4935,19.4059
8,17.6768,15,19.3131,16.4145,19.3131
9,17.776,15.3333,21.3316,18.1294,21.3316
10,17.8297,15.6,21.4543,18.2341,21.4543
11,18.0073,17.4,23.2009,19.7183,23.2009
12,18.1832,17.7,22.6223,19.2267,22.6223
13,18.2941,18.1,24.109,20.4897,24.109
14,18.3879,18.3,23.1633,19.6864,23.1633
15,18.8257,18.5,22.7415,19.328,22.7415
16,19.2788,18.7,22.9072,19.4686,22.9072
17,19.3289,18.8,22.7401,19.3268,22.7401
18,19.3289,18.9,22.6792,19.2748,22.6792
19,19.3518,19,22.7941,19.3726,22.7941
20,19.3518,18.9,20.7079,17.5985,20.7079
21,19.4223,19.2,23.7147,20.155,23.7147
22,19.4223,19.2,22.5085,19.1296,22.5085
23,19.4223,19.2,22.4693,19.0962,22.4693
24,19.4223,18.8,18.4337,15.6668,18.4337
25,19.4223,19.1,22.1106,18.7918,22.1106
26,19.4223,19.2,22.766,19.3486,22.766
27,19.5792,19.2,23.3153,19.8156,23.3153
28,19.5792,19.1,22.0043,18.7013,22.0043
29,19.5792,19.1,22.1356,18.8128,22.1356
30,19.5792,19.2,22.8506,19.4174,22.8506
31,19.5792,19.1,21.9473,18.6531,21.9473
32,19.5792,19.1,22.3358,18.9832,22.3358
33,19.5792,19.2,22.4558,19.0835,22.4558
34,19.5792,19.1,21.96,18.6633,21.96
35,19.5792,19.1,21.3105,18.1119,21.3105
36,19.5792,19.1,21.3326,18.1308,21.3326
37,19.5792,19.1,22.1006,18.783,22.1006
38,19.7039,19.3,23.5677,20.03,23.5677
39,19.7039,19.3,22.4196,19.0541,22.4196
40,19.7039,19.3,22.4234,19.0575,22.4234
41,19.7039,19.3,22.7927,19.3712,22.7927
42,19.7039,19.1,21.0523,17.8922,21.0523
43,19.7039,19.3,22.7051,19.2969,22.7051
44,19.7039,19.2,21.2226,18.0369,21.2226
45,19.7685,19.4,23.8434,20.2639,23.8434
46,19.7685,19.4,23.108,19.6392,23.108
47,19.8923,19.4,23.4922,19.9657,23.4922
48,19.9366,19.4,23.4197,19.9041,23.4197
49,19.9366,19.3,21.6282,18.3817,21.6282
50,19.9366,19.4,23.4167,19.9015,23.4167
51,19.9366,19.4,23.3642,19.8567,23.3642
52,19.9366,19.4,22.602,19.209,22.602
53,19.9996,19.5,24.0044,20.401,24.0044
54,19.9996,19.4,21.2199,18.0348,21.2199
55,19.9996,19.5,23.2686,19.7757,23.2686
56,19.9996,19.5,22.5296,19.1477,22.5296
57,19.9996,19.5,23.192,19.7108,23.192
58,19.9996,19.5,22.6225,19.2267,22.6225
59,19.9996,19.4,22.3298,18.9775,22.3298
60,19.9996,19.5,23.0508,19.5904,23.0508
61,19.9996,19.4,22.2226,18.8868,22.2226
62,19.9996,19.4,22.3001,18.9527,22.3001
63,19.9996,19.5,22.994,19.542,22.994
64,19.9996,19.4,21.7752,18.5064,21.7752
65,19.9996,19.5,23.381,19.8712,23.381
66,19.9996,19.3,21.1496,17.9751,21.1496
67,19.9996,19.5,22.7968,19.3747,22.7968
68,19.9996,19.5,22.8579,19.4266,22.8579
69,19.9996,19.1,18.6523,15.8524,18.6523
70,19.9996,19.5,23.3647,19.8573,23.3647
71,19.9996,19.4,21.9887,18.6879,21.9887
72,19.9996,19.4,22.15,18.8251,22.15
73,19.9996,19.5,23.1921,19.7109,23.1921
74,19.9996,19.4,22.0227,18.7168,22.0227
75,19.9996,19.5,22.6086,19.2146,22.6086
76,19.9996,19.5,22.4633,19.0913,22.4633
77,19.9996,19.5,22.5691,19.1813,22.5691
78,19.9996,19.5,22.604,19.2112,22.604
79,19.9996,19.4,22.2435,18.9044,22.2435
80,19.9996,19.2,19.5928,16.6519,19.5928
81,19.9996,19.5,22.7236,19.3125,22.7236
82,19.9996,19.5,22.4188,19.0534,22.4188
83,19.9996,19.5,22.9138,19.474,22.9138
84,19.9996,19.4,22.0036,18.7005,22.0036
85,19.9996,19.5,23.4115,19.8971,23.4115
86,19.9996,19.5,22.4883,19.1123,22.4883
87,19.9996,19.5,22.6321,19.2348,22.6321
88,19.9996,19.5,22.7448,19.3308,22.7448
89,19.9996,19.5,23.0702,19.6072,23.0702
90,19.9996,19.5,22.7564,19.3402,22.7564
91,19.9996,19.3,20.258,17.2173,20.258
92,19.9996,19.5,22.7009,19.2934,22.7009
93,19.9996,19.5,22.9191,19.4786,22.9191
94,19.9996,19.5,22.9633,19.5164,22.9633
95,19.9996,19.5,23.381,19.8711,23.381
96,19.9996,19.5,23.0546,19.5937,23.0546
97,19.9996,19.4,22.0608,18.7493,22.0608
98,19.9996,19.2,19.9908,16.9899,19.9908
99,19.9996,19.3,20.0809,17.0667,20.0809
100,19.9996,19.4,21.9262,18.6349,21.9262
101,19.9996,19.5,22.3602,19.004,22.3602
102,19.9996,19.5,22.5666,19.1789,22.5666
103,19.9996,19.5,22.7058,19.2975,22.7058
104,19.9996,19.4,21.5666,18.3294,21.5666
105,19.9996,19.5,22.6293,19.2324,22.6293
106,19.9996,19.5,22.7623,19.3452,22.7623
107,19.9996,19.4,21.9963,18.6949,21.9963
108,19.9996,19.5,22.4564,19.0853,22.4564
109,20.0727,19.6,23.6647,20.112,23.6647
110,20.0727,19.6,22.9447,19.5005,22.9447
111,20.0727,19.6,22.8764,19.4422,22.8764
112,20.0727,19.4,20.3858,17.3259,20.3858
113,20.0727,19.6,23.2275,19.7405,23.2275
114,20.1352,19.7,23.7164,20.1562,23.7164
115,20.1352,19.6,21.9722,18.6739,21.9722
116,20.1352,19.7,23.3224,19.8209,23.3224
